agent,episode,trial,deck,true_reward,perceived_reward,temperature,expl_rate,rpe,dopamine,cumulative_true_reward,cumulative_perceived_reward,win_stay,lose_shift,condition,seed
48,10,6,0,100.0,120.0,0.4340012503334173,0.20754908290429935,47.63317467767163,1.2,550.0,635.7405532583986,True,False,overactive,4
48,10,7,0,-200.0,-252.76370872178143,0.432,0.20734153382139506,-46.99501441799457,1.1769411317468057,350.0,382.97684453661714,True,False,overactive,4
48,10,8,1,-200.0,-340.18484328544076,0.43753412838076655,0.20713419228757365,-72.00000000000001,1.1545347164474264,150.0,42.79200125117637,False,True,overactive,4
48,10,9,0,100.0,119.94545234106397,0.4429116680526176,0.20692705809528608,36.00000000000001,1.1989090468212795,250.0,162.73745359224034,False,True,overactive,4
48,10,10,2,-200.0,-337.39110209247787,0.4322618287628929,0.2067201310371908,-72.00000000000001,1.175504444600257,50.0,-174.65364850023752,False,False,overactive,4
48,10,11,2,50.0,60.0,0.43787893329593824,0.2065134109061536,18.000000000000004,1.2,100.0,-114.65364850023752,False,False,overactive,4
48,10,12,2,50.0,60.0,0.432,0.20630689749524744,18.000000000000004,1.2,150.0,-54.65364850023752,True,False,overactive,4
48,10,13,1,100.0,120.0,0.432,0.2061005905977522,36.00000000000001,1.2,250.0,65.34635149976248,False,False,overactive,4
48,10,14,1,100.0,120.0,0.432,0.20589449000715446,36.00000000000001,1.2,350.0,185.34635149976248,True,False,overactive,4
48,10,15,0,100.0,120.0,0.432,0.2056885955171473,36.00000000000001,1.2,450.0,305.3463514997625,False,False,overactive,4
48,10,16,2,-200.0,-262.0349960067116,0.432,0.20548290692163015,-72.00000000000001,1.1766122540627546,250.0,43.31135549305088,False,False,overactive,4
48,10,17,2,50.0,60.0,0.43761305902493886,0.20527742401470853,18.000000000000004,1.2,300.0,103.31135549305088,False,False,overactive,4
48,10,18,0,100.0,120.0,0.432,0.2050721465906938,36.00000000000001,1.2,400.0,223.31135549305088,False,False,overactive,4
48,10,19,3,-200.0,-322.96248143406365,0.432,0.20486707444410313,-72.00000000000001,1.1764242188354723,200.0,-99.65112594101276,False,False,overactive,4
48,10,20,3,50.0,60.0,0.4376581874794866,0.204662207369659,18.000000000000004,1.2,250.0,-39.651125941012765,False,False,overactive,4
49,1,1,3,-200.0,-291.17678122380045,0.5279999999999999,0.24975,-504.0,0.788890362607103,-200.0,-291.17678122380045,,,overactive,4
49,1,2,3,50.0,51.129339296702526,0.5306663129742952,0.24950025,126.0,0.8451735718681012,-150.0,-240.0474419270979,False,False,overactive,4
49,1,3,2,50.0,52.510324452362546,0.5171583427516556,0.24925074975,18.000000000000004,0.9004129780945019,-100.0,-187.53711747473537,False,False,overactive,4
49,1,4,1,100.0,107.73568051515392,0.5039008852573195,0.24900149900025,36.00000000000001,0.9547136103030787,0.0,-79.80143695958145,False,False,overactive,4
