condition,agent,block,win_stay,lose_shift
overactive,30,1,0.2145,0.1465
overactive,30,2,0.192,0.1665
overactive,30,3,0.2055,0.14
overactive,30,4,0.2075,0.1495
overactive,30,5,0.19,0.167
overactive,31,1,0.2145,0.1465
overactive,31,2,0.192,0.1665
overactive,31,3,0.2055,0.14
overactive,31,4,0.2075,0.1495
overactive,31,5,0.19,0.167
overactive,32,1,0.2145,0.1465
overactive,32,2,0.192,0.1665
overactive,32,3,0.2055,0.14
overactive,32,4,0.2075,0.1495
overactive,32,5,0.19,0.167
overactive,33,1,0.2145,0.1465
overactive,33,2,0.192,0.1665
overactive,33,3,0.2055,0.14
overactive,33,4,0.2075,0.1495
overactive,33,5,0.19,0.167
overactive,34,1,0.2145,0.1465
overactive,34,2,0.192,0.1665
overactive,34,3,0.2055,0.14
overactive,34,4,0.2075,0.1495
overactive,34,5,0.19,0.167
overactive,35,1,0.2145,0.1465
overactive,35,2,0.192,0.1665
overactive,35,3,0.2055,0.14
overactive,35,4,0.2075,0.1495
overactive,35,5,0.19,0.167
overactive,36,1,0.2145,0.1465
overactive,36,2,0.192,0.1665
overactive,36,3,0.2055,0.14
overactive,36,4,0.2075,0.1495
overactive,36,5,0.19,0.167
overactive,37,1,0.2145,0.1465
overactive,37,2,0.192,0.1665
overactive,37,3,0.2055,0.14
overactive,37,4,0.2075,0.1495
overactive,37,5,0.19,0.167
overactive,38,1,0.2145,0.1465
overactive,38,2,0.192,0.1665
overactive,38,3,0.2055,0.14
overactive,38,4,0.2075,0.1495
overactive,38,5,0.19,0.167
overactive,39,1,0.2145,0.1465
overactive,39,2,0.192,0.1665
overactive,39,3,0.2055,0.14
overactive,39,4,0.2075,0.1495
overactive,39,5,0.19,0.167
overactive,40,1,0.2145,0.1465
overactive,40,2,0.192,0.1665
overactive,40,3,0.2055,0.14
overactive,40,4,0.2075,0.1495
overactive,40,5,0.19,0.167
overactive,41,1,0.2145,0.1465
overactive,41,2,0.192,0.1665
overactive,41,3,0.2055,0.14
overactive,41,4,0.2075,0.1495
overactive,41,5,0.19,0.167
overactive,42,1,0.2145,0.1465
overactive,42,2,0.192,0.1665
overactive,42,3,0.2055,0.14
overactive,42,4,0.2075,0.1495
overactive,42,5,0.19,0.167
overactive,43,1,0.2145,0.1465
overactive,43,2,0.192,0.1665
overactive,43,3,0.2055,0.14
overactive,43,4,0.2075,0.1495
overactive,43,5,0.19,0.167
overactive,44,1,0.2145,0.1465
overactive,44,2,0.192,0.1665
overactive,44,3,0.2055,0.14
overactive,44,4,0.2075,0.1495
overactive,44,5,0.19,0.167
overactive,45,1,0.2145,0.1465
overactive,45,2,0.192,0.1665
overactive,45,3,0.2055,0.14
overactive,45,4,0.2075,0.1495
overactive,45,5,0.19,0.167
overactive,46,1,0.2145,0.1465
overactive,46,2,0.192,0.1665
overactive,46,3,0.2055,0.14
overactive,46,4,0.2075,0.1495
overactive,46,5,0.19,0.167
overactive,47,1,0.2145,0.1465
overactive,47,2,0.192,0.1665
overactive,47,3,0.2055,0.14
overactive,47,4,0.2075,0.1495
overactive,47,5,0.19,0.167
overactive,48,1,0.2145,0.1465
overactive,48,2,0.192,0.1665
overactive,48,3,0.2055,0.14
overactive,48,4,0.2075,0.1495
overactive,48,5,0.19,0.167
overactive,49,1,0.2145,0.1465
overactive,49,2,0.192,0.1665
overactive,49,3,0.2055,0.14
overactive,49,4,0.2075,0.1495
overactive,49,5,0.19,0.167
overactive,50,1,0.2145,0.1465
overactive,50,2,0.192,0.1665
overactive,50,3,0.2055,0.14
overactive,50,4,0.2075,0.1495
overactive,50,5,0.19,0.167
