condition,agent,block,cumulative_perceived_reward
overactive,3,5,995.8291594100403
overactive,4,1,1072.2825079968748
overactive,4,2,142.37054960966316
overactive,4,3,814.2157473266511
overactive,4,4,979.0646208788221
overactive,4,5,1003.6207102065009
overactive,5,1,1052.2000070682875
overactive,5,2,114.97233583482118
overactive,5,3,812.6978962484742
overactive,5,4,998.0480922427307
overactive,5,5,1025.1965165104152
overactive,6,1,1062.6211507149646
overactive,6,2,128.0360307634955
overactive,6,3,823.9762621329035
overactive,6,4,1016.5792456300775
overactive,6,5,1035.3191429807082
overactive,7,1,1060.8351481253903
overactive,7,2,130.05578061735378
overactive,7,3,809.7895456137669
overactive,7,4,981.4558812252828
overactive,7,5,980.1282939511891
overactive,8,1,1048.374701279326
overactive,8,2,137.41637021342171
overactive,8,3,829.1233128739947
overactive,8,4,1030.136933508367
overactive,8,5,1040.833699332631
overactive,9,1,1058.208568832189
overactive,9,2,183.14492670017117
overactive,9,3,888.430270765935
overactive,9,4,1084.1923525091177
overactive,9,5,1126.2776950339246
overactive,10,1,1068.6830837877774
overactive,10,2,148.40896290237862
overactive,10,3,835.3882263187654
overactive,10,4,1007.5774054288491
overactive,10,5,1019.3339090441256
overactive,11,1,1070.0832694254216
overactive,11,2,146.50829116171735
overactive,11,3,825.2790848541584
overactive,11,4,1001.9659610014542
overactive,11,5,989.2294699025337
overactive,12,1,1057.3399707076846
overactive,12,2,151.1763299729405
overactive,12,3,875.5984069101703
overactive,12,4,1043.6654636473936
overactive,12,5,1074.679919676279
overactive,13,1,1071.3344545712396
overactive,13,2,192.84547133845396
overactive,13,3,881.3925612998221
overactive,13,4,1070.5481374224955
overactive,13,5,1071.8021882867617
overactive,14,1,1065.1866345128597
overactive,14,2,155.21704588731828
overactive,14,3,850.9728315232958
overactive,14,4,1053.3447444000994
overactive,14,5,1072.9042388344787
overactive,15,1,1077.5967753911468
overactive,15,2,191.90367840491808
overactive,15,3,879.4340387387028
overactive,15,4,1036.294229433271
overactive,15,5,1048.4439008232914
overactive,16,1,1055.9555550836817
overactive,16,2,162.67724360787662
overactive,16,3,865.4603723463888
overactive,16,4,1049.7163401955345
overactive,16,5,1088.2039457477053
overactive,17,1,1071.6215618681763
overactive,17,2,138.12905719243827
overactive,17,3,810.1374321746603
overactive,17,4,991.3293779537426
overactive,17,5,1004.2532215279982
overactive,18,1,1059.8159134094326
overactive,18,2,156.49592084283822
overactive,18,3,853.4981896234136
overactive,18,4,1075.1480168093635
overactive,18,5,1082.7790006087403
overactive,19,1,1065.233572920506
overactive,19,2,160.31572318336075
overactive,19,3,838.3940058715901
overactive,19,4,1033.0980731190468
overactive,19,5,1030.519964110798
overactive,20,1,1065.2038775950482
overactive,20,2,177.6210643866466
overactive,20,3,862.5231336654921
overactive,20,4,1057.360660591403
overactive,20,5,1077.975741219252
overactive,21,1,1067.3339319686688
overactive,21,2,153.32349261631117
overactive,21,3,824.4115733857427
overactive,21,4,984.7657404653825
overactive,21,5,1010.151916599596
overactive,22,1,1063.002978546954
overactive,22,2,146.2055538332354
overactive,22,3,826.8220442537616
overactive,22,4,1006.1531218910147
overactive,22,5,1016.0537761163969
overactive,23,1,1067.7233464178732
overactive,23,2,140.61097510446902
