condition,agent,block,win_stay,lose_shift
overactive,33,1,0.1925,0.1475
overactive,33,2,0.2075,0.1605
overactive,33,3,0.201,0.1375
overactive,33,4,0.2,0.151
overactive,33,5,0.217,0.1445
overactive,34,1,0.1925,0.1475
overactive,34,2,0.2075,0.1605
overactive,34,3,0.201,0.1375
overactive,34,4,0.2,0.151
overactive,34,5,0.217,0.1445
overactive,35,1,0.1925,0.1475
overactive,35,2,0.2075,0.1605
overactive,35,3,0.201,0.1375
overactive,35,4,0.2,0.151
overactive,35,5,0.217,0.1445
overactive,36,1,0.1925,0.1475
overactive,36,2,0.2075,0.1605
overactive,36,3,0.201,0.1375
overactive,36,4,0.2,0.151
overactive,36,5,0.217,0.1445
overactive,37,1,0.1925,0.1475
overactive,37,2,0.2075,0.1605
overactive,37,3,0.201,0.1375
overactive,37,4,0.2,0.151
overactive,37,5,0.217,0.1445
overactive,38,1,0.1925,0.1475
overactive,38,2,0.2075,0.1605
overactive,38,3,0.201,0.1375
overactive,38,4,0.2,0.151
overactive,38,5,0.217,0.1445
overactive,39,1,0.1925,0.1475
overactive,39,2,0.2075,0.1605
overactive,39,3,0.201,0.1375
overactive,39,4,0.2,0.151
overactive,39,5,0.217,0.1445
overactive,40,1,0.1925,0.1475
overactive,40,2,0.2075,0.1605
overactive,40,3,0.201,0.1375
overactive,40,4,0.2,0.151
overactive,40,5,0.217,0.1445
overactive,41,1,0.1925,0.1475
overactive,41,2,0.2075,0.1605
overactive,41,3,0.201,0.1375
overactive,41,4,0.2,0.151
overactive,41,5,0.217,0.1445
overactive,42,1,0.1925,0.1475
overactive,42,2,0.2075,0.1605
overactive,42,3,0.201,0.1375
overactive,42,4,0.2,0.151
overactive,42,5,0.217,0.1445
overactive,43,1,0.1925,0.1475
overactive,43,2,0.2075,0.1605
overactive,43,3,0.201,0.1375
overactive,43,4,0.2,0.151
overactive,43,5,0.217,0.1445
overactive,44,1,0.1925,0.1475
overactive,44,2,0.2075,0.1605
overactive,44,3,0.201,0.1375
overactive,44,4,0.2,0.151
overactive,44,5,0.217,0.1445
overactive,45,1,0.1925,0.1475
overactive,45,2,0.2075,0.1605
overactive,45,3,0.201,0.1375
overactive,45,4,0.2,0.151
overactive,45,5,0.217,0.1445
overactive,46,1,0.1925,0.1475
overactive,46,2,0.2075,0.1605
overactive,46,3,0.201,0.1375
overactive,46,4,0.2,0.151
overactive,46,5,0.217,0.1445
overactive,47,1,0.1925,0.1475
overactive,47,2,0.2075,0.1605
overactive,47,3,0.201,0.1375
overactive,47,4,0.2,0.151
overactive,47,5,0.217,0.1445
overactive,48,1,0.1925,0.1475
overactive,48,2,0.2075,0.1605
overactive,48,3,0.201,0.1375
overactive,48,4,0.2,0.151
overactive,48,5,0.217,0.1445
overactive,49,1,0.1925,0.1475
overactive,49,2,0.2075,0.1605
overactive,49,3,0.201,0.1375
overactive,49,4,0.2,0.151
overactive,49,5,0.217,0.1445
overactive,50,1,0.1925,0.1475
overactive,50,2,0.2075,0.1605
overactive,50,3,0.201,0.1375
overactive,50,4,0.2,0.151
overactive,50,5,0.217,0.1445
